CID,target,Activity at 10.0 uM
24686093,0,-28.3583
2731049,0,-28.3507
727453,0,-28.338
2386013,0,-28.3372
742805,0,-28.3348
1253275,0,-28.3318
2903278,0,-28.3277
2244713,0,-28.325
7825576,0,-28.322
2124752,0,-28.3212
855977,0,-28.3182
3107890,0,-28.3086
16195076,0,-28.3005
2944133,0,-28.3
24819118,0,-28.2941
973819,0,-28.2933
5713982,0,-28.2907
2571989,0,-28.2764
1079830,0,-28.2707
2396781,0,-28.2646
2427874,0,-28.2637
9614566,0,-28.2566
797057,0,-28.2565
1249113,0,-28.2555
1559435,0,-28.2512
792965,0,-28.2454
762666,0,-28.2427
721388,0,-28.2418
694849,0,-28.2394
20858994,0,-28.2307
6436771,0,-28.2254
5414974,0,-28.2239
7217462,0,-28.2183
6881346,0,-28.2123
3852812,0,-28.2083
2502269,0,-28.199
3158108,0,-28.1989
7326141,0,-28.1949
2806328,0,-28.1941
4068990,0,-28.1925
9509560,0,-28.1846
9108965,0,-28.1821
3851724,0,-28.1691
16194270,0,-28.1643
2255346,0,-28.1596
24819418,0,-28.1595
24819924,0,-28.1465
2725921,0,-28.1448
23960495,0,-28.1447
4794102,0,-28.1435
4885555,0,-28.1391
6867936,0,-28.1267
4611888,0,-28.1252
2429069,0,-28.1237
5341510,0,-28.1196
19654176,0,-28.1173
2308336,0,-28.1169
135459107,0,-28.1126
17582022,0,-28.1103
2903019,0,-28.1058
2937007,0,-28.0979
5300482,0,-28.0861
560720,0,-28.0806
5333619,0,-28.0797
4323914,0,-28.0707
17088130,0,-28.0607
25237611,0,-28.0543
3920507,0,-28.0526
4187904,0,-28.0517
1864514,0,-28.0482
4790685,0,-28.0443
135457732,0,-28.0442
2813075,0,-28.0415
4797349,0,-28.0351
2826609,0,-28.0346
2728458,0,-28.0268
6620311,0,-28.0247
979236,0,-28.0161
3155690,0,-28.0056
16305869,0,-27.9905
2100087,0,-27.9865
135549632,0,-27.9719
834802,0,-27.9648
2521525,0,-27.9621
534612,0,-27.9587
24746914,0,-27.9574
258596,0,-27.9415
6484060,0,-27.94
135464596,0,-27.9395
2819658,0,-27.9387
736634,0,-27.9272
3774662,0,-27.9263
5713198,0,-27.9165
5412410,0,-27.9154
2121907,0,-27.9147
16188268,0,-27.9145
6903728,0,-27.9137
9630702,0,-27.9132
744549,0,-27.9009
2814902,0,-27.9007
843671,0,-27.8984
16193217,0,-27.8763
2952379,0,-27.8632
678087,0,-27.856
2821438,0,-27.8459
2213820,0,-27.838
5726397,0,-27.8303
2735667,0,-27.8237
5297899,0,-27.8019
2845974,0,-27.7907
708119,0,-27.7871
2097235,0,-27.7854
71821,0,-27.779
24818682,0,-27.7605
4966557,0,-27.7602
2889770,0,-27.756
850678,0,-27.755
6885132,0,-27.751
6486044,0,-27.7478
2744599,0,-27.7421
3160709,0,-27.7341
691220,0,-27.7291
3726154,0,-27.7189
2807796,0,-27.7143
776634,0,-27.7091
6469899,0,-27.702
20867000,0,-27.7016
2815964,0,-27.6917
6464301,0,-27.6785
6490883,0,-27.6782
2818359,0,-27.6771
931631,0,-27.6744
6498724,0,-27.6576
25237178,0,-27.6412
16004154,0,-27.6369
3797835,0,-27.6306
2536378,0,-27.6241
135877406,0,-27.6163
2865023,0,-27.6161
2127543,0,-27.614
2746600,0,-27.6131
773605,0,-27.6086
1481222,0,-27.6007
135488769,0,-27.6001
80616,0,-27.5903
7202413,0,-27.5863
6893100,0,-27.5843
2788822,0,-27.5785
5195448,0,-27.5738
8194854,0,-27.5672
1085520,0,-27.5619
16187331,0,-27.5611
3622707,0,-27.561
761461,0,-27.5559
709206,0,-27.5506
6620252,0,-27.5474
897595,0,-27.5378
6887311,0,-27.5351
1477386,0,-27.5342
25237436,0,-27.527
2854952,0,-27.5248
18074730,0,-27.5101
2728020,0,-27.5045
5348623,0,-27.4869
2893560,0,-27.4831
135635899,0,-27.4783
753309,0,-27.475
155290,0,-27.4544
135635824,0,-27.4386
723431,0,-27.4331
2738210,0,-27.4255
107544,0,-27.4247
2957922,0,-27.4235
5836640,0,-27.4191
2736155,0,-27.4157
2768679,0,-27.4098
5465662,0,-27.4037
2986542,0,-27.4006
1472429,0,-27.3994
1562630,0,-27.3994
17368185,0,-27.3958
7539084,0,-27.3898
135490251,0,-27.3867
3816271,0,-27.3799
586440,0,-27.3777
5412174,0,-27.3756
870389,0,-27.3718
1490583,0,-27.3656
1301329,0,-27.363
2429118,0,-27.3603
2726220,0,-27.3556
6623240,0,-27.3448
2001649,0,-27.3434
3865423,0,-27.3212
974803,0,-27.3104
1311881,0,-27.3077
3220315,0,-27.295
135463376,0,-27.2929
3959697,0,-27.2924
2813952,0,-27.287
2005844,0,-27.2776
3629808,0,-27.2768
1519992,0,-27.2651
762678,0,-27.2641
3157915,0,-27.2524
1946949,0,-27.2424
5770910,0,-27.2406
2478497,0,-27.2382
2810658,0,-27.2359
2811267,0,-27.2165
16305191,0,-27.2092
135418716,0,-27.2091
4644263,0,-27.2061
2982206,0,-27.203
33613,0,-27.2024
5600169,0,-27.2021
16188847,0,-27.1964
39042,0,-27.1841
889586,0,-27.1792
2111186,0,-27.174
7087,0,-27.1682
2815107,0,-27.1665
3106540,0,-27.1568
9210093,0,-27.1554
22432777,0,-27.1454
854749,0,-27.1384
2164652,0,-27.1306
5673862,0,-27.1285
1315581,0,-27.1276
5663704,0,-27.1216
40813,0,-27.1138
695255,0,-27.1127
24818642,0,-27.1054
2571961,0,-27.1018
1475033,0,-27.1015
726927,0,-27.0899
8518042,0,-27.089
723947,0,-27.0879
916986,0,-27.0856
5295978,0,-27.0832
20914812,0,-27.0752
2097446,0,-27.0751
5367144,0,-27.065
1742917,0,-27.0644
5714421,0,-27.0433
8661334,0,-27.0422
3091015,0,-27.037
4860359,0,-27.0291
16194796,0,-27.0087
722460,0,-26.9953
4783799,0,-26.9936
2461646,0,-26.9881
938727,0,-26.9874
958632,0,-26.9849
16003819,0,-26.9772
939343,0,-26.9688
2164583,0,-26.963
2028406,0,-26.9584
739886,0,-26.9493
3128188,0,-26.9469
6465574,0,-26.9054
135400487,0,-26.9032
2865916,0,-26.9001
2744375,0,-26.8998
623352,0,-26.8938
16192974,0,-26.8933
700569,0,-26.8893
1445157,0,-26.8847
2810412,0,-26.8842
4683508,0,-26.8774
2444929,0,-26.8705
24746982,0,-26.8587
2814498,0,-26.856
3052206,0,-26.8436
2449805,0,-26.8427
715063,0,-26.8377
773338,0,-26.8243
6466041,0,-26.8116
4812120,0,-26.8071
769963,0,-26.8009
3931873,0,-26.7982
135520015,0,-26.7965
135506003,0,-26.786
2877822,0,-26.7823
6880380,0,-26.7765
913181,0,-26.7758
3132650,0,-26.7727
751553,0,-26.7708
2842475,0,-26.7632
2770925,0,-26.7605
7972157,0,-26.7408
2468420,0,-26.7374
23723986,0,-26.7369
5771067,0,-26.7343
2988744,0,-26.7264
6376097,0,-26.714
1474370,0,-26.7098
1486742,0,-26.7011
4801889,0,-26.6982
1775,0,-26.6899
7217469,0,-26.6887
135516469,0,-26.6881
9600455,0,-26.6863
2809248,0,-26.6839
1225417,0,-26.6728
2008897,0,-26.671
970344,0,-26.6643
2955413,0,-26.6578
593958,0,-26.6462
2777583,0,-26.6437
814150,0,-26.6384
6498559,0,-26.6337
971434,0,-26.6308
1318,0,-26.6275
17297684,0,-26.6259
2728500,0,-26.6229
2840974,0,-26.6214
2429100,0,-26.6185
2547316,0,-26.6125
876945,0,-26.6122
1570418,0,-26.6072
713234,0,-26.6053
921407,0,-26.6033
2078777,0,-26.6
5223690,0,-26.5952
2435093,0,-26.588
16188583,0,-26.5782
3707498,0,-26.575
943730,0,-26.5697
25237451,0,-26.5555
946216,0,-26.553
877468,0,-26.5529
2339009,0,-26.5482
2731123,0,-26.544
1396226,0,-26.5389
9114293,0,-26.5375
3830332,0,-26.5365
4328250,0,-26.5356
16192730,0,-26.5344
2810316,0,-26.53
2094278,0,-26.5181
2818593,0,-26.5028
19841210,0,-26.499
7594,0,-26.487
225739,0,-26.4834
17379716,0,-26.4783
802921,0,-26.476
16190718,0,-26.475
850250,0,-26.4749
1477644,0,-26.4726
741095,0,-26.4652
5099490,0,-26.4524
1214521,0,-26.4402
24792098,0,-26.4331
748515,0,-26.4292
2864134,0,-26.4275
2746682,0,-26.4255
7217784,0,-26.4206
25237296,0,-26.4152
2826665,0,-26.41
3644975,0,-26.4023
2849603,0,-26.4019
1431156,0,-26.3984
4868373,0,-26.3917
2976510,0,-26.3907
24746786,0,-26.3865
71827,0,-26.375
5110663,0,-26.3716
3906031,0,-26.3702
1961175,0,-26.3689
2481587,0,-26.3651
797484,0,-26.3618
768288,0,-26.3599
3367012,0,-26.3594
4134110,0,-26.3569
240933,0,-26.3556
4356406,0,-26.3451
5687785,0,-26.3418
4673337,0,-26.3365
3170934,0,-26.3282
2983176,0,-26.3198
777129,0,-26.3181
7217510,0,-26.3158
2508983,0,-26.3154
4817106,0,-26.3111
767265,0,-26.3081
23603416,0,-26.3023
6905520,0,-26.2996
9618065,0,-26.2944
2837888,0,-26.2937
3155251,0,-26.2928
2442587,0,-26.2844
2812346,0,-26.2826
2810585,0,-26.2772
2048505,0,-26.2637
2872644,0,-26.2559
135492169,0,-26.2545
2418237,0,-26.2449
9590296,0,-26.2414
135481390,0,-26.2368
2971400,0,-26.229
16194085,0,-26.2222
16274143,0,-26.2171
3844416,0,-26.2112
975925,0,-26.2063
765098,0,-26.2056
4077096,0,-26.1982
2225170,0,-26.1912
5879880,0,-26.1898
17066599,0,-26.189
2810025,0,-26.1884
2801256,0,-26.1815
4243180,0,-26.181
1208567,0,-26.1755
1153606,0,-26.172
2948811,0,-26.1666
4543216,0,-26.1658
2255761,0,-26.1631
2810255,0,-26.158
4673520,0,-26.1569
3149337,0,-26.1563
2365694,0,-26.1488
16682702,0,-26.1457
5144040,0,-26.1442
2896981,0,-26.1425
1088602,0,-26.1316
2739497,0,-26.1285
239526,0,-26.1282
135418903,0,-26.1267
800082,0,-26.1258
885905,0,-26.1248
2214520,0,-26.1239
135400287,0,-26.1212
1438796,0,-26.1209
7284814,0,-26.1185
2738510,0,-26.1182
705895,0,-26.1179
746677,0,-26.0987
9559755,0,-26.0975
2432738,0,-26.0855
1204381,0,-26.0832
2745665,0,-26.0773
24747061,0,-26.0731
257563,0,-26.0727
1818784,0,-26.0653
3170399,0,-26.0598
4348886,0,-26.0513
24892565,0,-26.0465
2738408,0,-26.0432
5306162,0,-26.0391
797142,0,-26.0384
2029627,0,-26.0236
23723895,0,-26.012
838494,0,-26.0094
99600,0,-26.0043
617439,0,-25.9981
2946841,0,-25.9899
1245472,0,-25.9847
1478348,0,-25.9802
706821,0,-25.9644
4594276,0,-25.9642
531865,0,-25.9592
135469017,0,-25.9473
5767371,0,-25.9259
135509553,0,-25.9195
883448,0,-25.9112
749216,0,-25.9095
4794151,0,-25.8924
1147803,0,-25.8866
700633,0,-25.8835
2790107,0,-25.8831
1792220,0,-25.879
1435159,0,-25.8762
2598217,0,-25.8744
2344647,0,-25.8732
2568857,0,-25.8675
6852403,0,-25.8636
135688244,0,-25.8604
2880950,0,-25.8564
5713499,0,-25.843
4725740,0,-25.8419
24819124,0,-25.8415
709563,0,-25.8347
2974655,0,-25.8276
2821506,0,-25.8274
3388975,0,-25.8201
2545261,0,-25.8185
949916,0,-25.8098
851215,0,-25.8001
5297397,0,-25.7994
4077789,0,-25.798
4898181,0,-25.7979
2738529,0,-25.797
2417140,0,-25.7876
940009,0,-25.7872
1267450,0,-25.7862
2809754,0,-25.7848
2725803,0,-25.7839
1636796,0,-25.7791
2746659,0,-25.778
899020,0,-25.776
16196229,0,-25.775
1944215,0,-25.7725
4449,0,-25.7632
16823249,0,-25.7365
22431219,0,-25.7359
3332385,0,-25.734
3109042,0,-25.7326
2216374,0,-25.7291
889084,0,-25.7288
2636249,0,-25.7277
4961771,0,-25.7254
722597,0,-25.7248
624993,0,-25.7247
4899423,0,-25.7208
8301003,0,-25.7046
5111058,0,-25.6959
2226166,0,-25.6872
1502551,0,-25.6864
18193157,0,-25.6845
35025,0,-25.6814
9786502,0,-25.6789
24817798,0,-25.6707
135472781,0,-25.6674
2810189,0,-25.6642
2078139,0,-25.6632
856094,0,-25.6606
5417820,0,-25.6562
2238371,0,-25.6539
822846,0,-25.6533
3027456,0,-25.6478
714721,0,-25.6423
1132717,0,-25.6359
5726562,0,-25.6084
5524592,0,-25.6076
3121410,0,-25.6048
9619264,0,-25.6044
790572,0,-25.6037
2933462,0,-25.6028
2808597,0,-25.5924
3312365,0,-25.5895
866891,0,-25.5863
1912416,0,-25.571
2897584,0,-25.5672
4165402,0,-25.5613
1976511,0,-25.5591
1088589,0,-25.5559
16961153,0,-25.5501
920802,0,-25.5491
9114254,0,-25.5411
9345359,0,-25.535
847915,0,-25.5298
2088327,0,-25.5285
2851004,0,-25.526
621268,0,-25.5231
4895967,0,-25.5224
2729498,0,-25.5191
3153449,0,-25.5182
69500,0,-25.5149
910535,0,-25.5039
1488969,0,-25.5022
2556531,0,-25.5004
6621395,0,-25.4979
24819408,0,-25.4892
7150804,0,-25.4881
2944511,0,-25.4875
4038,0,-25.4838
2164985,0,-25.4805
16281905,0,-25.4704
6213174,0,-25.4663
2063589,0,-25.4581
2224147,0,-25.4558
2225192,0,-25.4536
24686325,0,-25.4425
673619,0,-25.4408
1368511,0,-25.4384
4036780,0,-25.437
135651479,0,-25.435
773942,0,-25.4338
16193577,0,-25.4243
6490172,0,-25.4214
23724365,0,-25.421
3158796,0,-25.4205
3475757,0,-25.3995
858924,0,-25.3984
18577990,0,-25.3978
5144620,0,-25.3977
2666713,0,-25.3927
3181429,0,-25.3914
9665049,0,-25.38
23723662,0,-25.3628
2226431,0,-25.3601
704166,0,-25.3538
1744671,0,-25.3526
746813,0,-25.3492
2972068,0,-25.3479
2964163,0,-25.3468
2972826,0,-25.3383
5033943,0,-25.3352
3586379,0,-25.3293
2223043,0,-25.3223
4880472,0,-25.3218
2816922,0,-25.3194
5017187,0,-25.3105
5138169,0,-25.3065
2731967,0,-25.3034
823402,0,-25.3023
2516451,0,-25.2994
19650185,0,-25.2953
2976014,0,-25.2891
22433035,0,-25.2884
15998160,0,-25.2864
2739892,0,-25.2843
2845860,0,-25.2823
88733,0,-25.2787
2166024,0,-25.2779
730775,0,-25.2737
734031,0,-25.2667
3718757,0,-25.2666
135461907,0,-25.2624
829924,0,-25.2595
791221,0,-25.2482
730923,0,-25.248
798801,0,-25.2465
2454114,0,-25.2438
5161259,0,-25.2434
867649,0,-25.2408
2728479,0,-25.2243
4185448,0,-25.2219
2766044,0,-25.2207
19580852,0,-25.2177
2904045,0,-25.2164
6467239,0,-25.212
4905480,0,-25.2111
6306482,0,-25.2093
753811,0,-25.2088
24819689,0,-25.2073
18074868,0,-25.1906
9534416,0,-25.1891
1252684,0,-25.1849
2892943,0,-25.1734
6880451,0,-25.1684
4655626,0,-25.1662
628785,0,-25.1648
2811813,0,-25.1616
2253328,0,-25.1615
31280,0,-25.1579
1442866,0,-25.1567
5045378,0,-25.1553
2917532,0,-25.1535
3721707,0,-25.1518
4908746,0,-25.1513
3155840,0,-25.1446
2870264,0,-25.1382
971009,0,-25.136
2312863,0,-25.1275
9559923,0,-25.1274
7871136,0,-25.1226
346945,0,-25.1202
908911,0,-25.1164
11922845,0,-25.1141
3225896,0,-25.1129
25252625,0,-25.111
2743521,0,-25.1091
741510,0,-25.0994
5378362,0,-25.0954
24791600,0,-25.0953
4879901,0,-25.0927
839769,0,-25.0925
2850907,0,-25.0918
1485513,0,-25.0899
729426,0,-25.0856
2117140,0,-25.0856
745769,0,-25.0793
689395,0,-25.0731
1442829,0,-25.0711
974724,0,-25.0662
2765915,0,-25.0606
2990814,0,-25.0573
6468969,0,-25.0551
9566172,0,-25.0463
2157995,0,-25.0324
930714,0,-25.0264
2814266,0,-25.025
885659,0,-25.0206
17253304,0,-25.0101
19686609,0,-25.0098
1118219,0,-25.0086
3161134,0,-25.0058
2816775,0,-24.9991
3442589,0,-24.9935
952033,0,-24.9917
1263645,0,-24.9916
17021323,0,-24.9896
4295211,0,-24.9895
24792433,0,-24.9878
2813088,0,-24.9874
8479214,0,-24.9849
5397321,0,-24.9847
3412464,0,-24.9846
576320,0,-24.9706
951478,0,-24.9617
975784,0,-24.9604
16237934,0,-24.9578
7783431,0,-24.9549
135408458,0,-24.9506
2992950,0,-24.9397
2892846,0,-24.9363
24819769,0,-24.9322
3114817,0,-24.9321
2805621,0,-24.9305
5190275,0,-24.9243
1174022,0,-24.9208
3571609,0,-24.916
6517721,0,-24.9124
3254139,0,-24.9106
24761884,0,-24.8964
5901861,0,-24.896
785520,0,-24.883
3978883,0,-24.8763
2971097,0,-24.866
135444387,0,-24.863
135592665,0,-24.8622
4917706,0,-24.8604
3288046,0,-24.8597
3956673,0,-24.8596
910281,0,-24.8593
24816554,0,-24.8544
2815635,0,-24.8529
2771139,0,-24.8509
24790067,0,-24.8408
66377,0,-24.8332
2811823,0,-24.8307
135537540,0,-24.8241
2710942,0,-24.8231
16188062,0,-24.8181
4881920,0,-24.8161
6298398,0,-24.8097
4916122,0,-24.8075
3652861,0,-24.8069
2213802,0,-24.8002
2993486,0,-24.7997
5333719,0,-24.7956
2508685,0,-24.7948
6072641,0,-24.7901
6383980,0,-24.7851
2915890,0,-24.784
2765714,0,-24.7825
2969407,0,-24.7445
7859422,0,-24.742
135519963,0,-24.7417
3310334,0,-24.7416
743480,0,-24.7393
4133200,0,-24.7356
2808492,0,-24.7356
603114,0,-24.7319
5411370,0,-24.7298
941065,0,-24.7223
2814667,0,-24.7184
2946675,0,-24.7177
16312999,0,-24.7171
16188092,0,-24.7167
931771,0,-24.716
5010503,0,-24.711
1990302,0,-24.7107
886034,0,-24.7087
135445761,0,-24.699
850904,0,-24.6971
2841109,0,-24.6943
3950486,0,-24.6825
799707,0,-24.6812
5195682,0,-24.6773
616168,0,-24.6756
24747971,0,-24.6744
2212711,0,-24.6732
7539142,0,-24.6725
294856,0,-24.6644
19582706,0,-24.6638
10779018,0,-24.6564
2887844,0,-24.6486
2809868,0,-24.645
8750809,0,-24.6438
24818172,0,-24.6427
6890111,0,-24.6404
2996422,0,-24.6386
5399547,0,-24.6335
2815908,0,-24.627
6865176,0,-24.6258
2731424,0,-24.6234
2344671,0,-24.6181
757696,0,-24.6087
1999161,0,-24.5978
6465631,0,-24.5911
6888970,0,-24.5898
135423651,0,-24.5857
885043,0,-24.5849
6468464,0,-24.583
3125610,0,-24.5806
1502244,0,-24.5778
24791061,0,-24.5773
16193014,0,-24.5679
135485037,0,-24.5668
975848,0,-24.5643
2460275,0,-24.559
809174,0,-24.547
2877030,0,-24.5469
20179921,0,-24.5292
1489415,0,-24.5289
579213,0,-24.524
2810627,0,-24.5217
3437168,0,-24.5206
16188853,0,-24.5149
735609,0,-24.5087
24819125,0,-24.5017
2986526,0,-24.5009
2810384,0,-24.4999
1928493,0,-24.4985
6879730,0,-24.496
2954495,0,-24.4874
707560,0,-24.4869
2194209,0,-24.486
1631918,0,-24.4829
135435929,0,-24.4828
2088429,0,-24.48
1485448,0,-24.4721
315014,0,-24.4659
3756488,0,-24.465
722796,0,-24.4605
3861962,0,-24.4565
2539690,0,-24.4524
829521,0,-24.4516
2808311,0,-24.451
24242605,0,-24.4488
24820103,0,-24.4246
934550,0,-24.4124
4335648,0,-24.409
7463379,0,-24.4087
2744667,0,-24.4011
16191488,0,-24.3926
2995692,0,-24.3892
235529,0,-24.3887
6472426,0,-24.388
971504,0,-24.3848
5922300,0,-24.381
24790435,0,-24.3781
9439964,0,-24.3743
6871935,0,-24.3721
135403117,0,-24.3709
5919649,0,-24.3679
392799,0,-24.3628
800617,0,-24.3623
2881131,0,-24.3586
20914793,0,-24.3512
4868821,0,-24.3433
3769030,0,-24.3367
797560,0,-24.3364
6212067,0,-24.3345
2806259,0,-24.3343
20865361,0,-24.3317
1916401,0,-24.3272
23724220,0,-24.3252
2815626,0,-24.3197
5155468,0,-24.3087
744721,0,-24.3059
563203,0,-24.3031
921948,0,-24.2997
2809249,0,-24.2896
2929726,0,-24.2885
6865141,0,-24.2815
730912,0,-24.2738
3117753,0,-24.2734
6470838,0,-24.2662
2742914,0,-24.258
836113,0,-24.2575
2451680,0,-24.2566
3809633,0,-24.256
1927485,0,-24.2539
1245830,0,-24.2529
894096,0,-24.2492
1475476,0,-24.2439
2818784,0,-24.2417
6859304,0,-24.2194
2509204,0,-24.2177
5473672,0,-24.2111
748058,0,-24.2039
16278337,0,-24.2034
800782,0,-24.1984
135759036,0,-24.1974
2455905,0,-24.197
5930030,0,-24.1961
940068,0,-24.1907
7384475,0,-24.19
801212,0,-24.1848
2274691,0,-24.1817
911367,0,-24.1749
4659759,0,-24.1738
861821,0,-24.1733
2059919,0,-24.172
760230,0,-24.1638
7119438,0,-24.1622
52994657,0,-24.1526
881135,0,-24.1525
135445603,0,-24.1464
745660,0,-24.1459
807058,0,-24.1437
3921576,0,-24.1426
2819895,0,-24.1369
894484,0,-24.136
2091311,0,-24.1253
1108344,0,-24.1246
46498279,0,-24.1212
5243424,0,-24.1189
953794,0,-24.1173
3163704,0,-24.116
5149831,0,-24.113
928447,0,-24.1114
1479952,0,-24.1051
3163403,0,-24.1042
6884298,0,-24.0934
1474869,0,-24.0837
3212515,0,-24.0828
2325961,0,-24.0807
1228484,0,-24.0773
